,date,home_team,score,away_tem
0,14-08-2023,Cadiz,1 - 0,Alaves
1,21-08-2023,Alaves,4 - 3,Sevilla
2,28-08-2023,Getafe,1 - 0,Alaves
3,02-09-2023,Alaves,1 - 0,Valencia
4,15-09-2023,Vallecano,2 - 0,Alaves
5,22-09-2023,Alaves,0 - 2,Ath Bilbao
6,28-09-2023,Celta,1 - 1,Alaves
7,01-10-2023,Alaves,0 - 2,Osasuna
8,08-10-2023,Alaves,1 - 1,Betis
9,22-10-2023,Villarreal,1 - 1,Alaves
10,29-10-2023,Ath Madrid,2 - 1,Alaves
11,05-11-2023,Alaves,1 - 0,Almeria
12,12-11-2023,Barcelona,2 - 1,Alaves
13,24-11-2023,Alaves,3 - 1,Granada
14,03-12-2023,Mallorca,0 - 0,Alaves
15,09-12-2023,Alaves,0 - 1,Las Palmas
16,18-12-2023,Girona,3 - 0,Alaves
17,21-12-2023,Alaves,0 - 1,Real Madrid
18,02-01-2024,Sociedad,1 - 1,Alaves
19,12-01-2024,Sevilla,2 - 3,Alaves
20,19-01-2024,Alaves,1 - 0,Cadiz
21,26-01-2024,Almeria,0 - 3,Alaves
22,03-02-2024,Alaves,1 - 3,Barcelona
23,10-02-2024,Alaves,1 - 1,Villarreal
24,18-02-2024,Betis,0 - 0,Alaves
25,24-02-2024,Alaves,1 - 1,Mallorca
26,04-03-2024,Osasuna,1 - 0,Alaves
27,10-03-2024,Alaves,1 - 0,Vallecano
28,16-03-2024,Ath Bilbao,2 - 0,Alaves
29,31-03-2024,Alaves,0 - 1,Sociedad
30,14-04-2024,Granada,2 - 0,Alaves
31,21-04-2024,Alaves,2 - 0,Ath Madrid
32,27-04-2024,Alaves,3 - 0,Celta
33,05-05-2024,Valencia,0 - 1,Alaves
34,10-05-2024,Alaves,2 - 2,Girona
35,14-05-2024,Real Madrid,5 - 0,Alaves
36,18-05-2024,Alaves,1 - 0,Getafe
37,26-05-2024,Las Palmas,1 - 1,Alaves
38,11-08-2023,Almeria,0 - 2,Vallecano
39,19-08-2023,Almeria,1 - 3,Real Madrid
40,26-08-2023,Cadiz,1 - 1,Almeria
41,01-09-2023,Almeria,2 - 3,Celta
42,17-09-2023,Villarreal,2 - 1,Almeria
43,23-09-2023,Almeria,2 - 2,Valencia
44,26-09-2023,Sevilla,5 - 1,Almeria
45,01-10-2023,Almeria,3 - 3,Granada
46,06-10-2023,Ath Bilbao,3 - 0,Almeria
47,22-10-2023,Girona,5 - 2,Almeria
48,28-10-2023,Almeria,1 - 2,Las Palmas
49,05-11-2023,Alaves,1 - 0,Almeria
50,11-11-2023,Almeria,1 - 3,Sociedad
51,25-11-2023,Getafe,2 - 1,Almeria
52,03-12-2023,Almeria,0 - 0,Betis
53,10-12-2023,Ath Madrid,2 - 1,Almeria
54,17-12-2023,Almeria,0 - 0,Mallorca
55,20-12-2023,Barcelona,3 - 2,Almeria
56,04-01-2024,Osasuna,1 - 0,Almeria
57,14-01-2024,Almeria,0 - 0,Girona
58,21-01-2024,Real Madrid,3 - 2,Almeria
59,26-01-2024,Almeria,0 - 3,Alaves
60,03-02-2024,Valencia,2 - 1,Almeria
61,12-02-2024,Almeria,0 - 0,Ath Bilbao
62,18-02-2024,Granada,1 - 1,Almeria
63,24-02-2024,Almeria,2 - 2,Ath Madrid
64,01-03-2024,Celta,1 - 0,Almeria
65,11-03-2024,Almeria,2 - 2,Sevilla
66,17-03-2024,Las Palmas,0 - 1,Almeria
67,30-03-2024,Almeria,0 - 3,Osasuna
68,14-04-2024,Sociedad,2 - 2,Almeria
69,21-04-2024,Almeria,1 - 2,Villarreal
70,27-04-2024,Almeria,1 - 3,Getafe
71,05-05-2024,Vallecano,0 - 1,Almeria
72,12-05-2024,Betis,3 - 2,Almeria
73,16-05-2024,Almeria,0 - 2,Barcelona
74,19-05-2024,Mallorca,2 - 2,Almeria
75,25-05-2024,Almeria,6 - 1,Cadiz
76,12-08-2023,Ath Bilbao,0 - 2,Real Madrid
77,19-08-2023,Osasuna,0 - 2,Ath Bilbao
78,27-08-2023,Ath Bilbao,4 - 2,Betis
79,03-09-2023,Mallorca,0 - 0,Ath Bilbao
80,16-09-2023,Ath Bilbao,3 - 0,Cadiz
81,22-09-2023,Alaves,0 - 2,Ath Bilbao
82,27-09-2023,Ath Bilbao,2 - 2,Getafe
83,30-09-2023,Sociedad,3 - 0,Ath Bilbao
84,06-10-2023,Ath Bilbao,3 - 0,Almeria
85,22-10-2023,Barcelona,1 - 0,Ath Bilbao
86,29-10-2023,Ath Bilbao,2 - 2,Valencia
87,05-11-2023,Villarreal,2 - 3,Ath Bilbao
88,10-11-2023,Ath Bilbao,4 - 3,Celta
89,27-11-2023,Girona,1 - 1,Ath Bilbao
90,02-12-2023,Ath Bilbao,4 - 0,Vallecano
91,11-12-2023,Granada,1 - 1,Ath Bilbao
92,16-12-2023,Ath Bilbao,2 - 0,Ath Madrid
93,20-12-2023,Ath Bilbao,1 - 0,Las Palmas
94,04-01-2024,Sevilla,0 - 2,Ath Bilbao
95,13-01-2024,Ath Bilbao,2 - 1,Sociedad
96,20-01-2024,Valencia,1 - 0,Ath Bilbao
97,28-01-2024,Cadiz,0 - 0,Ath Bilbao
98,02-02-2024,Ath Bilbao,4 - 0,Mallorca
99,12-02-2024,Almeria,0 - 0,Ath Bilbao
100,19-02-2024,Ath Bilbao,3 - 2,Girona
101,25-02-2024,Betis,3 - 1,Ath Bilbao
102,03-03-2024,Ath Bilbao,0 - 0,Barcelona
103,10-03-2024,Las Palmas,0 - 2,Ath Bilbao
104,16-03-2024,Ath Bilbao,2 - 0,Alaves
105,31-03-2024,Real Madrid,2 - 0,Ath Bilbao
106,14-04-2024,Ath Bilbao,1 - 1,Villarreal
107,19-04-2024,Ath Bilbao,1 - 1,Granada
108,27-04-2024,Ath Madrid,3 - 1,Ath Bilbao
109,03-05-2024,Getafe,0 - 2,Ath Bilbao
110,11-05-2024,Ath Bilbao,2 - 2,Osasuna
111,15-05-2024,Celta,2 - 1,Ath Bilbao
112,19-05-2024,Ath Bilbao,2 - 0,Sevilla
113,25-05-2024,Vallecano,0 - 1,Ath Bilbao
114,14-08-2023,Ath Madrid,3 - 1,Granada
115,20-08-2023,Betis,0 - 0,Ath Madrid
116,28-08-2023,Vallecano,0 - 7,Ath Madrid
117,16-09-2023,Valencia,3 - 0,Ath Madrid
118,24-09-2023,Ath Madrid,3 - 1,Real Madrid
119,28-09-2023,Osasuna,0 - 2,Ath Madrid
120,01-10-2023,Ath Madrid,3 - 2,Cadiz
121,08-10-2023,Ath Madrid,2 - 1,Sociedad
122,21-10-2023,Celta,0 - 3,Ath Madrid
123,29-10-2023,Ath Madrid,2 - 1,Alaves
124,03-11-2023,Las Palmas,2 - 1,Ath Madrid
125,12-11-2023,Ath Madrid,3 - 1,Villarreal
126,25-11-2023,Ath Madrid,1 - 0,Mallorca
127,03-12-2023,Barcelona,1 - 0,Ath Madrid
128,10-12-2023,Ath Madrid,2 - 1,Almeria
129,16-12-2023,Ath Bilbao,2 - 0,Ath Madrid
130,19-12-2023,Ath Madrid,3 - 3,Getafe
131,23-12-2023,Ath Madrid,1 - 0,Sevilla
132,03-01-2024,Girona,4 - 3,Ath Madrid
133,22-01-2024,Granada,0 - 1,Ath Madrid
134,28-01-2024,Ath Madrid,2 - 0,Valencia
135,31-01-2024,Ath Madrid,2 - 1,Vallecano
136,04-02-2024,Real Madrid,1 - 1,Ath Madrid
137,11-02-2024,Sevilla,1 - 0,Ath Madrid
138,17-02-2024,Ath Madrid,5 - 0,Las Palmas
139,24-02-2024,Almeria,2 - 2,Ath Madrid
140,03-03-2024,Ath Madrid,2 - 1,Betis
141,09-03-2024,Cadiz,2 - 0,Ath Madrid
142,17-03-2024,Ath Madrid,0 - 3,Barcelona
143,01-04-2024,Villarreal,1 - 2,Ath Madrid
144,13-04-2024,Ath Madrid,3 - 1,Girona
145,21-04-2024,Alaves,2 - 0,Ath Madrid
146,27-04-2024,Ath Madrid,3 - 1,Ath Bilbao
147,04-05-2024,Mallorca,0 - 1,Ath Madrid
148,12-05-2024,Ath Madrid,1 - 0,Celta
149,15-05-2024,Getafe,0 - 3,Ath Madrid
150,19-05-2024,Ath Madrid,1 - 4,Osasuna
151,25-05-2024,Sociedad,0 - 2,Ath Madrid
152,13-08-2023,Getafe,0 - 0,Barcelona
153,20-08-2023,Barcelona,2 - 0,Cadiz
154,27-08-2023,Villarreal,3 - 4,Barcelona
155,03-09-2023,Osasuna,1 - 2,Barcelona
156,16-09-2023,Barcelona,5 - 0,Betis
157,23-09-2023,Barcelona,3 - 2,Celta
158,26-09-2023,Mallorca,2 - 2,Barcelona
159,29-09-2023,Barcelona,1 - 0,Sevilla
160,08-10-2023,Granada,2 - 2,Barcelona
161,22-10-2023,Barcelona,1 - 0,Ath Bilbao
162,28-10-2023,Barcelona,1 - 2,Real Madrid
163,04-11-2023,Sociedad,0 - 1,Barcelona
164,12-11-2023,Barcelona,2 - 1,Alaves
165,25-11-2023,Vallecano,1 - 1,Barcelona
166,03-12-2023,Barcelona,1 - 0,Ath Madrid
167,10-12-2023,Barcelona,2 - 4,Girona
168,16-12-2023,Valencia,1 - 1,Barcelona
169,20-12-2023,Barcelona,3 - 2,Almeria
170,04-01-2024,Las Palmas,1 - 2,Barcelona
171,21-01-2024,Betis,2 - 4,Barcelona
172,27-01-2024,Barcelona,3 - 5,Villarreal
173,31-01-2024,Barcelona,1 - 0,Osasuna
174,03-02-2024,Alaves,1 - 3,Barcelona
175,11-02-2024,Barcelona,3 - 3,Granada
176,17-02-2024,Celta,1 - 2,Barcelona
177,24-02-2024,Barcelona,4 - 0,Getafe
178,03-03-2024,Ath Bilbao,0 - 0,Barcelona
179,08-03-2024,Barcelona,1 - 0,Mallorca
180,17-03-2024,Ath Madrid,0 - 3,Barcelona
181,30-03-2024,Barcelona,1 - 0,Las Palmas
182,13-04-2024,Cadiz,0 - 1,Barcelona
183,21-04-2024,Real Madrid,3 - 2,Barcelona
184,29-04-2024,Barcelona,4 - 2,Valencia
185,04-05-2024,Girona,4 - 2,Barcelona
186,13-05-2024,Barcelona,2 - 0,Sociedad
187,16-05-2024,Almeria,0 - 2,Barcelona
188,19-05-2024,Barcelona,3 - 0,Vallecano
189,26-05-2024,Sevilla,1 - 2,Barcelona
190,13-08-2023,Villarreal,1 - 2,Betis
191,20-08-2023,Betis,0 - 0,Ath Madrid
192,27-08-2023,Ath Bilbao,4 - 2,Betis
193,02-09-2023,Betis,1 - 0,Vallecano
194,16-09-2023,Barcelona,5 - 0,Betis
195,24-09-2023,Betis,1 - 1,Cadiz
196,28-09-2023,Granada,1 - 1,Betis
197,01-10-2023,Betis,3 - 0,Valencia
198,08-10-2023,Alaves,1 - 1,Betis
199,21-10-2023,Getafe,1 - 1,Betis
200,29-10-2023,Betis,2 - 1,Osasuna
201,04-11-2023,Betis,2 - 0,Mallorca
202,12-11-2023,Sevilla,1 - 1,Betis
203,26-11-2023,Betis,1 - 0,Las Palmas
204,03-12-2023,Almeria,0 - 0,Betis
205,09-12-2023,Betis,1 - 1,Real Madrid
206,17-12-2023,Sociedad,0 - 0,Betis
